fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
1,0.5884459585,0.5932944611,-100.9615698253,49.7628591089,461,3111.916667,2015.625,5034.541667,2713.083333,2.333333,878.652174,743.5,2922.75,,2389.250000,169.800000
2,0.9264043719,1.0644606471,-100.915709476,49.7628591089,491.28,3049.56,2066.96,4851.12,2745.4,2,945,-1802.26087,2910.2,,2645.086957,173.000000
3,0.7218433142,0.9253036022,-100.8239887773,49.7628591089,508.478261,3445.565217,1649.043478,5179.695652,3021.521739,,962.086957,-4736.157895,3004.363636,,2848.863636,
4,0.4678588718,0.8217985715,-100.6864077294,49.7628591089,472.304348,3197.652174,1445.26087,5135.521739,2729.565217,1,876.826087,4716.888889,2846.166667,,2112.142857,175.000000
5,0.7773516476,1.1836321354,-100.5946870307,49.7628591089,383.04,3696.92,1292.333333,5915,2843.88,1,727.04,11554.52381,2780.2,,1844.960000,
6,0.6394170416,0.9894824518,-100.5488266814,49.7628591089,372.208333,3702.416667,1296.791667,5933.583333,2827.333333,1,708.875,9644.210526,2772.142857,,1758.636364,175.000000
7,0.6950774193,1.0688192312,-100.502966332,49.7628591089,469.96,2472.88,1676.56,4381.625,2339.56,,922.958333,11546.952381,2771.142857,,1928.666667,175.000000
8,0.7148464446,1.004206722,-100.4571059827,49.7628591089,517.269231,2198.461538,2018.269231,3869.884615,2246.884615,1,983.074074,10026.818182,2777.3,,1857.000000,175.000000
9,0.8244320462,1.1355668083,-100.4112456334,49.7628591089,501.608696,2326.173913,1975.869565,4077.086957,2288.304348,,961.954545,12382.727273,2752.833333,,2028.782609,
10,0.7412891601,1.2829826048,-100.365385284,49.7628591089,459.615385,2585.884615,2005.076923,4486,2352.730769,,880.038462,10651.45,2780.625,,1864.857143,175.000000
11,0.5336801546,1.0366128981,-100.2736645854,49.7628591089,320.391304,4337.043478,1692.590909,6596.782609,3175.782609,,640.434783,-4778.210526,2882.692308,,933.521739,
12,1.011906141,1.0780346334,-100.227804236,49.7628591089,422.807692,3427.769231,2203.038462,5421.153846,2836.461538,,818.28,-4741.181818,2982.090909,,2168.772727,163.000000
13,0.624546415,0.7282021397,-100.1819438867,49.7628591089,470.416667,3298.666667,2252.875,5131.416667,2879.666667,,916.73913,-4788.666667,2954.583333,,2344.291667,
14,0.6754945703,0.9660869827,-100.1360835374,49.7628591089,445.458333,3385.708333,2239.083333,5287.708333,2880.875,,873.416667,-4817.238095,2943.5,,2106.521739,
15,0.5574060127,1.0226473153,-100.0902231881,49.7628591089,453.36,3330.4,2413.04,5218.84,2866,,890.16,-4832.26087,2959.916667,,2308.125000,171.000000
16,0.8269940846,1.4570491655,-99.9985024894,49.7628591089,490.173913,3167.956522,2460,4969.434783,2816.826087,,942.363636,-4831.863636,2966.285714,,2346.521739,
17,0.8500003048,1.2285541296,-99.9526421401,49.7628591089,467.769231,3399.769231,2246.269231,5255.307692,2891.538462,1,888.5,-4838.565217,2965.428571,,2321.320000,
18,1.1260754381,1.3848219088,-99.9067817907,49.7628591089,472.269231,3207.192308,2399.384615,5114.6,2788.5,,905.769231,-4829.32,2963.5,,2294.846154,
19,1.0392462959,1.399215435,-99.8150610921,49.7628591089,456.038462,3399.346154,1905.538462,5284.653846,2893.24,,887.576923,-4815.238095,2960.166667,,2244.960000,
20,0.832254237,1.347307656,-99.5857593454,49.7628591089,385.652174,3447.25,1434.208333,5724.791667,2678.416667,,728.083333,-4816.285714,2952.9,,2117.291667,
21,0.7089593406,0.9418257177,-99.5398989961,49.7628591089,397.230769,3297,1680.884615,5511.115385,2637.115385,,760.791667,-4837.636364,2951.5,,2091.500000,
22,0.7464824361,1.175100467,-99.4940386468,49.7628591089,406.64,3379.24,1635.541667,5565.12,2689.56,,765.36,-4821.478261,2949.454545,,2064.320000,
23,0.8400912523,0.9748569243,-99.4481782974,49.7628591089,322.208333,3854.458333,1075.291667,6456.25,2726.043478,,584.434783,-4862,2948.272727,,2040.291667,
24,0.5443418746,0.833666722,-99.4023179481,49.7628591089,333.230769,4272.076923,1058.423077,6634.576923,3012.8,,604.115385,-4858.826087,2946.833333,,2013.307692,
25,1.0278290965,1.6060277703,-99.3564575988,49.7628591089,303.041667,4627.5,1043.833333,7038.708333,3187.916667,,554.041667,-4880.181818,2945.444444,,1987.500000,
26,1.1571322978,1.712389186,-99.2647369001,49.7628591089,333.32,3824.96,1224.64,6317.56,2778.6,,626.333333,-4893.863636,2952.4,,2064.000000,
27,0.9467415975,1.4952539702,-99.2188765508,49.7628591089,314.041667,3869.04,1152.72,6478.96,2739.2,,585.84,-4873.291667,2951.777778,,2101.840000,
28,0.7702291076,1.1474864398,-99.1730162014,49.7628591089,346.541667,4063.708333,1533.666667,6379.833333,2997.25,,661,-4896.391304,2939.545455,,1950.041667,
29,0.863738662,1.0931131899,-99.0812955028,49.7628591089,303.708333,4238.88,1197.24,6753.48,2991.833333,,578.48,-4893.565217,2936.636364,,1829.160000,
30,0.8570781971,1.4372498509,-99.0354351535,49.7628591089,311.26087,4477.958333,1193.416667,6829.083333,3199.083333,,603.75,-4846.75,2952.916667,,1922.541667,165.000000
31,1.0432204803,1.6961177886,-98.8519937561,49.7628591089,290.916667,4854.88,1175.08,7180.96,3375.36,,553.75,-4860.166667,2928.545455,,1695.920000,
32,0.9063524629,1.4530402025,-98.8061334068,49.7628591089,333.92,4525.16,1512.24,6684.56,3319.16,,652.12,-4869.714286,2927.571429,,1668.920000,
33,1.0762629807,1.5883651205,-98.7602730575,49.7628591089,348.166667,4341.041667,1568.416667,6517.041667,3219.708333,,674.5,-4896,2926.25,,1642.666667,
34,0.9539844309,1.5458595284,-98.7144127081,49.7628591089,337.6,4442,1537.384615,6626.807692,3266.038462,,655.653846,-4915.65,2924.333333,,1615.769231,
35,0.8715745683,1.2730685075,-98.6685523588,49.7628591089,390.26087,4178.541667,1856,6158.375,3243.5,,757.833333,-4905.95,2932.454545,,1657.916667,163.000000
36,1.0683266095,1.5600484099,-98.6226920095,49.7628591089,390.52,3748.24,2054,5857.44,2943.56,,757.08,-4940.045455,2921.818182,,1562.160000,
37,0.7945832238,1.0909182876,-98.5309713108,49.7628591089,380.25,4045.916667,1877.75,6110.083333,3113.458333,,736.583333,-4970.5,2918.7,,1507.375000,
38,0.963195507,1.4414108821,-98.4851109615,49.7628591089,375.36,4198.88,1688.64,6282.88,3198,,723.76,-4967.434783,2917.545455,,1480.160000,
39,1.1613917649,1.7607686371,-98.3933902628,49.7628591089,436.32,3294.16,2498.8,5280.2,2752.6,,836.64,-4964.45,2923.090909,,1492.840000,163.000000
40,1.0536732376,1.5339450637,-98.3475299135,49.7628591089,394.166667,3331.916667,2226.75,5487.791667,2706,,779.791667,-4953.904762,2913.3,,1398.333333,
41,1.4000850797,1.4640333414,-98.3016695642,49.7628591089,353.730769,3985.653846,1584.076923,6207.923077,3051.846154,,720.24,-4926.391304,2911.818182,,1370.269231,
42,1.0485631128,1.5721307198,-98.2099488655,49.7628591089,405.208333,3796.6,1872.625,5805.04,3080.12,,812.68,-4730.15,2983.25,,2268.708333,164.333333
43,0.9637466777,1.3696564328,-98.0723678175,49.7628591089,432.36,3135.16,2308.6,5138.92,2613.52,,811.44,-4904.842105,2913.090909,,1343.416667,163.000000
44,0.6299969724,0.8118477613,-98.0265074682,49.7628591089,416.96,2488.68,1877.92,4560.72,2153.32,1,774.416667,-4796.409091,3006.285714,,2386.320000,166.250000
45,0.8476089793,1.181913759,-97.9806471189,49.7628591089,400.76,2834.48,1784.64,5023.56,2327.08,,751.72,-4785.636364,2973.153846,,2405.000000,163.000000
46,1.0308349977,1.7097319216,-97.9347867695,49.7628591089,398.25,2513.913043,1804.291667,4681.208333,2107.208333,,743.666667,-4878.521739,2947.4375,,2020.208333,
47,0.9587819517,1.0552241832,-97.8430660709,49.7628591089,455.521739,1963.5,1904.916667,3873.375,1900.083333,,837.208333,-4854.043478,2940.384615,,1821.208333,163.000000
48,1.0263712832,1.3189105732,-97.7972057215,49.7628591089,368.6,2681.16,1518.04,5063.72,2144.84,,690.96,-4788.958333,2882.4,,1086.583333,163.250000
49,0.9698539078,1.355364126,-97.7513453722,49.7628591089,285,3003.24,1144.08,5862.16,2158.08,0,551.44,-4460.791667,2837.4,,261.863636,170.000000
50,0.6093509346,0.7658804879,-97.7054850229,49.7628591089,248.52,3178.16,930.833333,6237.36,2180.4,1,488.32,-4846.869565,2826.7,,58.363636,
51,0.6758271667,1.4416248972,-97.6596246735,49.7628591089,302.76,3206.56,1092.32,5942.04,2320.6,1,579.48,-4378.043478,2825,,33.272727,
52,0.5655136804,1.194995895,-97.5679039749,49.7628591089,358.96,2741.68,1572.2,5146.84,2170.84,1,673.92,-4204.7,2954.615385,,2353.608696,162.333333
53,0.6777349198,0.9305061251,-97.5220436256,49.7628591089,443.416667,2422.75,1809.625,4331.708333,2155.875,1,814.791667,-4727.368421,2992.454545,,2337.000000,165.000000
54,0.4484333575,0.9311742365,-97.4761832762,49.7628591089,382.153846,2523.615385,1640.307692,4863.769231,2067.153846,,706.653846,-4717.772727,2977.3,,2650.800000,
55,0.7272639622,1.530430201,-97.4303229269,49.7628591089,426.833333,2324.666667,1731.791667,4436.708333,2042.875,,782.458333,-4720.15,2975.666667,,2626.916667,
56,0.7382304072,1.1161153316,-97.3844625776,49.7628591089,407.4,2769.6,1674.72,5001.6,2285.6,,758.521739,-4710.875,2966.5,,2532.160000,161.000000
57,0.8955663783,1.3815570218,-97.3386022282,49.7628591089,493.52,2892.68,1770.8,4818.96,2525.88,,890.28,-4787.478261,2957.833333,,2429.750000,161.000000
58,0.8396346399,1.4903876781,-97.2468815296,49.7628591089,475.333333,2731.36,1820.2,4643.16,2376.48,1,848.24,-4747.416667,2945.25,,1845.913043,161.666667
59,0.432358861,0.8125276069,-97.2010211802,49.7628591089,606.72,2239.12,1953.04,3716.84,2290.48,,1033.8,-4784.909091,2940.083333,,1626.217391,165.000000
60,0.6000569026,0.909252601,-97.1551608309,49.7628591089,561.8,3309.68,1499.4,4995.28,2847.24,,946.2,-4770.25,2933.727273,,1888.080000,
61,0.6630515754,1.1370238016,-97.1093004816,49.7628591089,489.75,2999.791667,1619.416667,4870.916667,2589.25,,874.625,-4916.375,2928.9,,1776.125000,
62,0.4096321757,0.8189529665,-97.0634401322,49.7628591089,507.346154,2337,1740.538462,4106.884615,2171.5,,883.576923,-4801.875,2952.142857,,2000.576923,163.000000
63,0.653801263,0.9544627134,-97.0175797829,49.7628591089,518.416667,2691.333333,1734.75,4474.666667,2491.125,,948.625,-4850.095238,2936.428571,,2090.826087,161.000000
64,0.534466234,0.9027450979,-96.9258590843,49.7628591089,490.041667,2786.44,1834.24,4601.68,2487.24,,891.96,-4796.478261,2958.3,,2356.880000,
65,0.7695914507,1.1537174433,-96.8341383856,49.7628591089,399.28,2535.6,1642.76,4790.6,2139.2,,750.04,-4777.45,2933.625,,1890.590909,161.000000
66,1.1137306044,1.3240415454,-96.7882780363,49.7628591089,356.208333,2658.88,1521.166667,5149.72,2095.44,,666.291667,-4819.5,2939.333333,,1821.833333,
67,0.9595214978,1.2626999579,-96.7424176869,49.7628591089,354.96,2143.48,1589.64,4558.8,1796.48,,664.6,-4757.32,2925.6,,1741.400000,161.000000
