fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean,Window
1,0.6865011007,0.8835846782,-100.502966332,49.7628591089,566.2,,1904.458333,2100.32,3345.6,2201.04,,12167.791667,1089.48,2946.625,,138.56,25_May_09_June
2,0.2049313486,0.3129426846,-100.4571059827,49.7628591089,584.115385,157,1561.538462,2351.269231,2888.346154,1983.769231,,11956.24,1093.884615,2904.818182,,320.16,25_May_09_June
3,0.1527241901,0.3361082806,-100.365385284,49.7628591089,575.153846,157,1640.576923,2441.576923,3011.5,1999.461538,,11938.363636,1071.615385,2892.363636,,429.73913,25_May_09_June
4,0.2837621453,0.2780446144,-100.3195249347,49.7628591089,545.807692,157,2041.807692,2213.6,3622.807692,2189.5,,11920.72,1025.269231,2914.25,,482.96,25_May_09_June
5,0.2918533132,0.3700848241,-100.2736645854,49.7628591089,540.130435,157,1786.304348,2583.086957,3345.304348,2002.73913,,12004,1005.434783,2890.888889,,627.772727,25_May_09_June
6,0.3547210574,0.4574530337,-100.227804236,49.7628591089,520.5,157,2059.461538,2512.307692,3701.423077,2153.5,,11947,984.461538,2883.8,,613.44,25_May_09_June
7,0.3868901644,0.5112204701,-99.6316196948,49.7628591089,433.28,157,2129.24,1916.2,4110,1997.44,,12215.28,828.583333,2884,,865.36,25_May_09_June
8,0.5815933916,0.6459267167,-99.5857593454,49.7628591089,393.25,,2607.083333,1482.833333,4891.458333,2174.826087,,12229.304348,745.26087,2924.888889,,707.625,25_May_09_June
9,0.5087279528,0.6415702371,-99.5398989961,49.7628591089,403.769231,157,2486.461538,1664.153846,4674.807692,2145.615385,,12169.56,774.230769,2887.777778,,978.434783,25_May_09_June
10,0.6587116197,0.6531462669,-99.2188765508,49.7628591089,331.363636,,2842.72,1170.28,5524.24,2142.96,,12299.789474,618.875,2917.2,,931.56,25_May_09_June
11,0.5549174295,0.6873109788,-99.1730162014,49.7628591089,369.083333,,2858.791667,1554.541667,5303.458333,2267.043478,,12245.15,704.869565,2915.625,,959.208333,25_May_09_June
12,0.7146715969,0.7220225632,-99.1271558521,49.7628591089,345.346154,,2888.846154,1305.461538,5451.346154,2227.846154,,12189.409091,658.461538,2914.714286,,988.076923,25_May_09_June
13,0.678830759,0.6216108128,-99.0354351535,49.7628591089,340.041667,,3282,1252.958333,5820.666667,2478.416667,,12236.857143,654.782609,2912.571429,,1043.083333,25_May_09_June
14,0.6883223388,0.7694483333,-98.9895748041,49.7628591089,353.56,,3270.769231,1398.192308,5694.923077,2531.88,,12251.565217,696.5,2911.875,,1071.230769,25_May_09_June
15,0.7471170183,0.882870011,-98.9437144548,49.7628591089,344.666667,157,3336.375,1329.875,5810.5,2549.625,,12251.826087,678.291667,2888.9,,1176.478261,25_May_09_June
16,0.9928111285,1.0986222327,-98.8978541055,49.7628591089,333.416667,154.5,3532.36,1271.36,6097.458333,2626.2,,10796.173913,648.4,2886.8,,1249.782609,25_May_09_June
17,0.798378191,1.045566503,-98.8519937561,49.7628591089,343.041667,153,3643.88,1295.230769,6118.12,2702.32,,7400.88,652.16,2918.2,,1077.88,25_May_09_June
18,0.7424172431,1.13922337,-98.8061334068,49.7628591089,370,,3127.2,1581.125,5461.92,2489.96,,12322.76,727.56,2908.5,,1180.16,25_May_09_June
19,0.595379195,0.879038732,-98.7602730575,49.7628591089,387.125,,2902.041667,1681.5,5165.375,2396.083333,,12355.809524,763.291667,2906.8,,1206.695652,25_May_09_June
20,0.5347674425,0.6379088845,-98.6685523588,49.7628591089,431.291667,157,2844.416667,1926.833333,4920.416667,2447.166667,,12287.315789,828.565217,2894.1,,1299,25_May_09_June
21,0.5050561503,0.731283015,-98.6226920095,49.7628591089,421.16,145,2592.6,2106.48,4685.2,2264.25,,11263.833333,808.708333,2886.375,,1439.08,25_May_09_June
22,0.4352584276,0.7501025908,-98.5768316602,49.7628591089,377.884615,,2955.846154,1803,5278.846154,2376.461538,,12211.055556,730.730769,2866,,1596.6,25_May_09_June
23,0.5306844283,0.7351413295,-98.5309713108,49.7628591089,400.875,151,2931.625,1793.458333,5102.583333,2423.208333,,11316.6,772.791667,2898.375,,1510,25_May_09_June
24,0.6925889091,0.9822772172,-98.4851109615,49.7628591089,402.4,157,3034.375,1679.48,5168.16,2466.28,,12188.944444,777.56,2853.142857,,1626.083333,25_May_09_June
25,0.4642842375,0.7496828675,-98.1182281668,49.7628591089,468.041667,150,2972.5,1855.916667,4860.041667,2640.708333,,-2293,905.666667,3024.714286,,1369.130435,25_May_09_June
26,0.3057616401,0.526254192,-98.0723678175,49.7628591089,397.64,147,2467.16,1825.6,4550.28,2113.48,,-3550.714286,746.24,3050.25,,1395.36,25_May_09_June
27,0.0251673622,0.0404101025,-98.0265074682,49.7628591089,407.166667,157,1337.04,1724.041667,3154.56,1440.48,,2597,755.458333,2917.454545,,1779,25_May_09_June
28,-0.022376482,0.1948682136,-97.9806471189,49.7628591089,409.6,,1475.52,1733.28,3329.96,1522.32,,1895.636364,754.72,2954.083333,,1665.416667,25_May_09_June
29,0.3787181461,0.4518477982,-96.9717194336,49.7628591089,456.92,,2095.36,1735.76,3929.28,2009.32,,-5031.26087,846.96,3107.363636,,2374,25_May_09_June
30,0.2934562122,0.3789983876,-96.8799987349,49.7628591089,567.44,,1730.88,2111.08,3108.2,2024.28,,-5057,1039.76,3104.7,,2323.16,25_May_09_June
31,0.3948116263,0.5469745183,-96.8341383856,49.7628591089,449.76,157,1448.04,1857.708333,3146,1594.32,,-3498.909091,826.12,3069.1,,2359.24,25_May_09_June
32,0.0624817107,0.1259826024,-96.7882780363,49.7628591089,436.64,,1530.12,1790.36,3333.208333,1612.12,,-5068.304348,803.08,3101.8,,2272.4,25_May_09_June
33,0.175308098,0.238332691,-96.7424176869,49.7628591089,413.16,,1303.56,1769.48,3038.52,1440,,-5070.761905,760,3100.5,,2247.12,25_May_09_June
34,0.9054967463,0.9330288503,-96.5131159403,49.7628591089,433.869565,154,2785.76,1516.44,4797.48,2464.6,,-1067.545455,862.16,3072.833333,,1913.208333,25_May_09_June
35,1.0717569441,1.2781826854,-96.4213952416,49.7628591089,481,,2007.36,1829.28,3631.64,2183.68,,-5033.666667,1005.458333,3089.888889,,2067.16,25_May_09_June
36,0.304613187,0.4130314551,-95.4124675564,49.7628591089,289.521739,,2744.833333,823,5762.916667,1954.625,,-5179.157895,526.916667,3060.444444,2112,1482.916667,25_May_09_June
37,0.364981946,0.4322237505,-95.366607207,49.7628591089,280.76,,2704.68,841.32,5778.28,1902.44,,-5158.636364,508.791667,3059.166667,6208,1455.44,25_May_09_June
38,0.4728904325,0.4249650864,-95.3207468577,49.7628591089,296.73913,,2692.2,972.32,5641.32,1934.76,,-5193.166667,539.12,3057.666667,,1428.64,25_May_09_June
39,0.5441339863,0.7232274041,-94.6328416177,49.7628591089,295.92,,2715.56,819.24,5778.28,1895.6,,-5212.73913,507.92,3038.222222,6208,1011.56,25_May_09_June
40,0.2784707472,0.4021143047,-94.5869812684,49.7628591089,298.5,,2393.958333,783.583333,5454.375,1690.541667,,-5249.545455,495.521739,3036.777778,,983.458333,25_May_09_June
41,0.1551011286,0.3652477821,-94.2200984738,49.7628591089,250.6,,2658.48,731.32,6075.92,1757.04,,-5071,425.25,3026.777778,6208,758.08,25_May_09_June
42,0.416935198,0.4347553591,-94.1742381244,49.7628591089,243.416667,,2435.416667,709.208333,5933.625,1609.541667,,-5099.958333,408.125,3025.285714,6208,730.166667,25_May_09_June
43,0.2017824105,0.1954060495,-93.9449363778,49.7628591089,243.25,,2587.583333,732.173913,6073.958333,1693.166667,,-5236.590909,412.875,3019.666667,2112,587.916667,25_May_09_June
44,0.2683362907,0.4419404514,-93.8990760284,49.7628591089,228.478261,,2408.08,647.2,6061.72,1550.56,,-5291.92,379.12,3018.625,4842.666667,559.92,25_May_09_June
45,0.49138638,0.5143272476,-93.8532156791,49.7628591089,244.88,,2476.038462,697.461538,6008.538462,1610.846154,,-5270.521739,400.884615,3017.181818,6208,531.5,25_May_09_June
46,0.1576302263,0.2275211873,-93.8073553298,49.7628591089,227.304348,,2393.04,678.64,5988.32,1550.75,,-5206.208333,386.32,3016.625,6208,501.84,25_May_09_June
47,0.177497103,0.2816100251,-93.7156346311,49.7628591089,165.16,,1623.36,367.64,5644.56,1001.72,,-4939.304348,248.2,3036.375,5184,1005.347826,25_May_09_June
48,0.2080130271,0.189200809,-93.6697742818,49.7628591089,213.041667,,2177,639.25,5684.416667,1441.541667,,-4863.782609,365.625,3024.1,,725.291667,25_May_09_June
49,0.2080159166,0.2321618806,-93.5780535831,49.7628591089,212.84,,2318.76,543.84,6100.96,1476.32,,-4850.44,354.08,3032.25,6208,730.76,25_May_09_June
50,0.0572945014,0.1456174178,-93.5321932338,49.7628591089,215.909091,,2292.125,514.565217,6096.25,1453.083333,,-5008.217391,348.041667,3046.818182,6208,1104.833333,25_May_09_June
51,0.0500233057,0.0515859406,-93.4863328845,49.7628591089,221.4,,2404.64,518.12,6162.32,1521.76,,-5053.272727,352.96,3067.363636,5696,2156.72,25_May_09_June
52,-0.0914455418,-0.0610714803,-93.3487518365,49.7628591089,221.086957,,2393.875,419.333333,6149.208333,1489.041667,,-5038.8,336.217391,3062.777778,4160,2077.875,25_May_09_June
53,0.2018825834,0.3857924479,-93.2570311378,49.7628591089,280.130435,,3201.25,758.666667,6341.041667,2133.375,,-5013.380952,479.782609,3060.5,4160,2027,25_May_09_June
54,0.3270008094,0.3825022278,-93.2111707885,49.7628591089,294.6,,3184.653846,806.038462,6192.076923,2175.961538,,-5000.315789,511.730769,3058.3,4842.666667,2000.769231,25_May_09_June
55,0.2179419078,0.3975222848,-93.1194500898,49.7628591089,331.208333,158,2265.125,740.416667,4412.833333,1706.625,1,-3327.4,508.041667,2990,6219.25,2124.782609,25_May_09_June
56,0.3475968484,0.4722033646,-93.0735897405,49.7628591089,318.2,156,3008.28,900.56,5825.56,2169.16,1,-5032.526316,561.36,3039,6349,1886.48,25_May_09_June
57,0.5567648167,0.6657642438,-100.4112456334,49.6999773266,546.586207,,2300.068966,2207.965517,3894.586207,2374,,11772.103448,1039.62069,2938.875,,216.275862,25_May_09_June
58,0.4764393841,0.5709255065,-99.6774800441,49.6999773266,452.2,,2571.866667,1922.366667,4543.5,2332.333333,,12305.888889,872.833333,2921,,668.655172,25_May_09_June
59,0.345916436,0.5395519137,-99.6316196948,49.6999773266,485.068966,157,2130.689655,2199.137931,3951.482759,2108.862069,,12319.333333,920.25,2909.6,,729.137931,25_May_09_June
60,0.4773963625,0.6548386002,-99.1730162014,49.6999773266,424.607143,,2592.107143,1389.392857,4771,2202.321429,,12272,782.928571,2909.333333,,977.392857,25_May_09_June
61,0.6526251733,0.9619802875,-99.1271558521,49.6999773266,379.153846,,2656.928571,1265.25,5092.678571,2115.607143,,12306.96,683.666667,2909.125,,1004.321429,25_May_09_June
62,0.5026101649,0.6473051399,-98.7144127081,49.6999773266,410.142857,145,2503.464286,2440.107143,4587.321429,2211.428571,,11573.692308,806.428571,2836.818182,,1767.214286,25_May_09_June
63,0.2632132692,0.5103258664,-94.8621433644,49.6999773266,249.178571,,2689.035714,731.714286,5935.607143,1816.607143,,-5174.888889,439.785714,3038.909091,6208,1137.714286,25_May_09_June
