longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-100.9615698253,49.7628591089,0.924433,1.010215,518.610390,168.789474,2786.916667,2105.301282,4487.916667,2643.025641,1.583333,994.890323,1979.546154,2914.792208,10961.407407,2494.793103
-100.915709476,49.7628591089,0.769610,0.847016,519.345912,169.095238,2867.391304,2031.987578,4590.670807,2673.391304,1.500000,981.575949,178.338235,2934.545455,7270.666667,2548.510067
-100.8239887773,49.7628591089,0.574550,0.772814,492.193548,168.538462,3325.929487,1634.884615,5105.980769,2897.762821,1.166667,928.423077,-3194.753731,2962.919540,2860.625000,2687.132450
-100.6864077294,49.7628591089,0.637720,0.897437,451.625806,166.700000,3397.160256,1478.248408,5342.127389,2833.243590,0.714286,851.717949,2430.963235,2900.687500,5191.117647,2332.940789
-100.5946870307,49.7628591089,0.824083,1.161502,404.452229,168.833333,3558.579618,1413.307692,5681.215190,2836.341772,0.700000,776.968153,9731.307692,2809.583333,2435.133333,1991.324324
-100.5488266814,49.7628591089,0.876552,1.183886,390.884615,172.125000,3471.423077,1380.787097,5675.993548,2742.461538,0.818182,750.929032,10078.289063,2784.984127,2164.083333,1823.198630
-100.502966332,49.7628591089,0.811292,1.131905,431.228395,172.727273,3061.864198,1576.925926,5122.695652,2575.475309,0.800000,823.993789,8888.620155,2786.044776,2167.200000,1774.629139
-100.4571059827,49.7628591089,0.818183,1.069067,465.903846,172.230769,2688.833333,1791.416667,4602.903226,2431.948718,0.833333,892.168831,8390.074380,2794.428571,2169.500000,1759.879433
-100.4112456334,49.7628591089,0.702706,0.977421,473.636364,170.636364,2696.506410,1966.160256,4519.948718,2458.716129,0.833333,910.567742,7895.666667,2808.061538,2411.625000,1879.860294
-100.365385284,49.7628591089,0.707538,1.005018,445.591195,169.909091,2916.316770,1906.639752,4846.801242,2539.662500,0.800000,863.807453,5393.969231,2819.277778,2659.000000,1722.755396
-100.2736645854,49.7628591089,0.762691,1.135714,416.877419,165.545455,3432.666667,1897.135484,5449.230769,2819.833333,0.666667,814.348387,-2030.213740,2900.517647,2658.500000,1624.744828
-100.227804236,49.7628591089,0.740051,1.112822,440.842767,167.272727,3419.150000,2094.333333,5328.500000,2880.743750,0.500000,861.075472,-4392.904412,2940.965909,2146.500000,2043.052288
-100.1819438867,49.7628591089,0.808121,1.075091,459.243590,167.833333,3321.801282,2206.576923,5175.365385,2869.987179,0.000000,897.509677,-4513.562963,2961.404762,2112.000000,2351.055172
-100.1360835374,49.7628591089,0.666696,0.949775,464.858065,168.600000,3306.551282,2335.987179,5145.826923,2873.455128,0.000000,908.277419,-4788.635036,2960.355263,2112.000000,2248.704698
-100.0902231881,49.7628591089,0.812284,1.138690,483.388889,169.571429,3221.558282,2441.196319,4990.877301,2881.049080,0.000000,951.398773,-4797.589552,2954.868421,2112.000000,2247.758170
