longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean
-100.5029663320,49.7628591089,0.565068,0.691817,507.669903,157.000000,2281.788462,1917.933333,3972.114286,2287.819048,,11416.873786,979.567308,2929.093750,,198.123810
-100.4571059827,49.7628591089,0.450416,0.548354,567.518868,157.000000,1896.943396,2265.177570,3349.292453,2156.669811,,11735.923077,1065.754717,2919.184211,,271.634615
-100.3653852840,49.7628591089,0.246881,0.333582,582.552381,157.000000,1692.438095,2450.778846,3063.990476,2054.323810,,12145.725275,1089.761905,2907.302326,4160.000000,432.197917
-100.3195249347,49.7628591089,0.227519,0.323240,562.528846,157.000000,1743.542857,2427.326923,3195.285714,2036.304762,,12180.764045,1051.085714,2899.820513,4160.000000,536.680412
-100.2736645854,49.7628591089,0.231474,0.294832,544.577982,155.833333,1842.990909,2427.458716,3379.736364,2069.290909,,12197.683673,1028.162162,2888.022727,,640.320388
-100.2278042360,49.7628591089,0.288411,0.363693,530.304762,155.250000,2087.066667,2342.609524,3696.800000,2210.857143,,12200.122449,1013.790476,2898.040000,,618.591837
-99.6316196948,49.7628591089,0.459356,0.555948,462.339623,155.000000,2262.273585,1991.719626,4165.953271,2143.266667,,12148.666667,883.716981,2911.184211,,788.355140
-99.5857593454,49.7628591089,0.509937,0.633923,415.672897,157.000000,2501.351852,1665.768519,4664.166667,2168.820755,,12296.578947,790.074766,2919.166667,4160.000000,752.794118
-99.5398989961,49.7628591089,0.549900,0.666274,400.252427,157.000000,2505.104762,1609.650485,4729.200000,2144.567308,,12263.860215,765.621359,2903.324324,4160.000000,848.252525
-99.2188765508,49.7628591089,0.590632,0.711647,399.798077,157.000000,2607.867925,1661.626168,4910.747664,2162.476636,,12295.247312,747.037736,2909.900000,,949.490566
-99.1730162014,49.7628591089,0.628135,0.758812,406.009524,,2665.471698,1657.747664,4935.626168,2213.396226,,12310.680412,759.462264,2916.000000,,959.037383
-99.1271558521,49.7628591089,0.714539,0.853014,376.990385,,2904.485714,1480.048077,5315.733333,2308.288462,,12318.742268,711.355769,2914.551724,,986.847619
-99.0354351535,49.7628591089,0.728793,0.849910,370.122642,157.000000,3074.467290,1418.629630,5478.601852,2416.467290,,12307.715789,710.224299,2909.068966,,1051.009259
-98.9895748041,49.7628591089,0.628371,0.789899,381.990291,157.000000,3030.095238,1496.342857,5332.409524,2445.252427,,12299.011364,745.394231,2901.843750,,1095.657143
-98.9437144548,49.7628591089,0.696961,0.842490,370.192308,155.333333,3122.626168,1484.196262,5481.839623,2484.405660,,12085.590909,727.915888,2896.142857,,1145.740385
-98.8978541055,49.7628591089,0.672740,0.886692,345.557692,154.142857,3372.140187,1355.271028,5849.122642,2563.859813,,11335.108696,674.158879,2890.500000,,1203.643564
-98.8519937561,49.7628591089,0.647458,0.880852,352.471154,154.222222,3381.819048,1416.067308,5805.276190,2588.171429,,10504.123596,684.922330,2897.050000,,1197.558824
-98.8061334068,49.7628591089,0.587128,0.873837,382.233645,153.666667,3105.925926,1660.242991,5382.129630,2500.962617,,11280.166667,747.575472,2907.628571,,1178.467290
-98.7602730575,49.7628591089,0.633160,0.887856,406.179245,,2893.495327,1838.644860,5059.205607,2434.113208,,12250.606742,796.056075,2907.000000,,1216.169811
-98.6685523588,49.7628591089,0.554586,0.778010,473.158879,149.000000,2599.700935,2217.392523,4486.579439,2396.654206,,11835.865854,909.273585,2899.617647,,1326.798077
-98.6226920095,49.7628591089,0.433034,0.654990,437.990654,149.000000,2574.766355,2244.179245,4590.495327,2277.547170,,11828.385542,832.514286,2873.967742,,1566.126214
-98.5768316602,49.7628591089,0.432204,0.681711,395.547170,150.714286,2652.205607,2073.849057,4831.214953,2221.547170,,11401.493976,751.962264,2866.916667,,1798.616162
-98.5309713108,49.7628591089,0.532082,0.795483,413.800000,153.454545,2725.245283,2017.981308,4813.710280,2314.514019,,11646.418605,791.925234,2864.875000,,1765.531250
-98.4851109615,49.7628591089,0.652944,0.825864,418.038095,155.000000,2939.809524,1898.254717,5034.556604,2468.330189,,11841.720930,807.301887,2845.714286,,1734.908163
-98.1182281668,49.7628591089,0.534069,0.739825,424.742857,150.000000,2814.443396,1820.500000,4857.311321,2428.198113,,1211.043478,821.773585,2976.948718,,1661.427184
-98.0723678175,49.7628591089,0.375018,0.564790,414.557692,153.666667,2225.198113,1873.707547,4193.283019,2019.698113,,153.444444,785.409524,2985.783784,,1569.474747
-98.0265074682,49.7628591089,0.219300,0.370833,419.561905,155.000000,1621.373832,1825.896226,3455.149533,1640.616822,,2260.107143,778.273585,2945.818182,,1701.270833
-97.9806471189,49.7628591089,0.129536,0.260059,415.226415,157.000000,1477.481132,1757.896226,3303.813084,1533.813084,,4832.517647,764.383178,2913.355556,,1882.840426
-96.9717194336,49.7628591089,0.347191,0.493265,500.000000,,2205.560748,1814.093458,3938.093458,2149.813084,,-5012.712766,912.476636,3107.534884,,2372.654206
-96.8799987349,49.7628591089,0.327883,0.482511,529.923810,157.000000,1664.742857,2008.057692,3173.380952,1884.307692,,-3253.057471,964.740385,3063.869565,,2362.539216
-96.8341383856,49.7628591089,0.254035,0.390524,479.105769,155.750000,1566.500000,1883.990385,3195.542857,1731.811321,,-2470.712644,882.820755,3045.812500,,2342.431373
-96.7882780363,49.7628591089,0.226562,0.307028,448.133333,154.250000,1594.336449,1778.764151,3332.849057,1686.439252,,-4078.637363,829.822430,3077.391304,,2268.250000
-96.7424176869,49.7628591089,0.211019,0.323775,456.888889,152.250000,1563.018519,1784.425926,3253.787037,1685.527778,,-4091.304348,842.879630,3091.761905,,2189.401869
-96.5131159403,49.7628591089,0.715541,0.857178,438.690000,152.625000,2861.228571,1548.798077,4873.828571,2508.066667,,-3245.458333,860.876190,3069.428571,,2024.894231
-96.4213952416,49.7628591089,0.708619,0.700870,485.504762,,2090.682243,1734.905660,3751.626168,2212.392523,,-5080.666667,995.057143,3090.243902,,2068.308411
